species combination	targets
worm,rat,yeast,fly	0
worm,rat,yeast,mouse	0
worm,yeast,human,fly	0
worm,yeast,human,mouse	2
worm,yeast,human,rat	0
worm,yeast,fly,human	0
worm,yeast,fly,mouse	0
worm,yeast,fly,rat	0
worm,yeast,mouse,human	2
worm,yeast,mouse,fly	0
worm,yeast,mouse,rat	0
worm,yeast,rat,human	0
worm,yeast,rat,fly	0
worm,yeast,rat,mouse	0
fly,human,worm,mouse	4
fly,human,worm,rat	1
fly,human,worm,yeast	0
fly,human,mouse,worm	4
fly,human,mouse,rat	4
fly,human,mouse,yeast	2
fly,human,rat,worm	1
fly,human,rat,mouse	4
fly,human,rat,yeast	0
fly,human,yeast,worm	0
fly,human,yeast,mouse	2
fly,human,yeast,rat	0
fly,worm,human,mouse	4
fly,worm,human,rat	1
fly,worm,human,yeast	0
fly,worm,mouse,human	4
fly,worm,mouse,rat	0
fly,worm,mouse,yeast	0
fly,worm,rat,human	1
fly,worm,rat,mouse	0
fly,worm,rat,yeast	0
fly,worm,yeast,human	0
fly,worm,yeast,mouse	0
fly,worm,yeast,rat	0
fly,mouse,human,worm	4
fly,mouse,human,rat	4
fly,mouse,human,yeast	2
fly,mouse,worm,human	4
fly,mouse,worm,rat	0
fly,mouse,worm,yeast	0
fly,mouse,rat,human	4
fly,mouse,rat,worm	0
fly,mouse,rat,yeast	0
fly,mouse,yeast,human	2
fly,mouse,yeast,worm	0
fly,mouse,yeast,rat	0
fly,rat,human,worm	1
fly,rat,human,mouse	4
fly,rat,human,yeast	0
fly,rat,worm,human	1
fly,rat,worm,mouse	0
fly,rat,worm,yeast	0
fly,rat,mouse,human	4
fly,rat,mouse,worm	0
fly,rat,mouse,yeast	0
fly,rat,yeast,human	0
fly,rat,yeast,worm	0
fly,rat,yeast,mouse	0
fly,yeast,human,worm	0
fly,yeast,human,mouse	2
fly,yeast,human,rat	0
fly,yeast,worm,human	0
fly,yeast,worm,mouse	0
fly,yeast,worm,rat	0
fly,yeast,mouse,human	2
fly,yeast,mouse,worm	0
fly,yeast,mouse,rat	0
fly,yeast,rat,human	0
fly,yeast,rat,worm	0
fly,yeast,rat,mouse	0
mouse,human,worm,fly	4
mouse,human,worm,rat	2
mouse,human,worm,yeast	2
mouse,human,fly,worm	4
mouse,human,fly,rat	4
mouse,human,fly,yeast	2
mouse,human,rat,worm	2
mouse,human,rat,fly	4
mouse,human,rat,yeast	3
mouse,human,yeast,worm	2
mouse,human,yeast,fly	2
mouse,human,yeast,rat	3
mouse,worm,human,fly	4
mouse,worm,human,rat	2
mouse,worm,human,yeast	2
mouse,worm,fly,human	4
mouse,worm,fly,rat	0
mouse,worm,fly,yeast	0
mouse,worm,rat,human	2
mouse,worm,rat,fly	0
mouse,worm,rat,yeast	0
mouse,worm,yeast,human	2
mouse,worm,yeast,fly	0
mouse,worm,yeast,rat	0
mouse,fly,human,worm	4
mouse,fly,human,rat	4
mouse,fly,human,yeast	2
mouse,fly,worm,human	4
mouse,fly,worm,rat	0
mouse,fly,worm,yeast	0
mouse,fly,rat,human	4
mouse,fly,rat,worm	0
mouse,fly,rat,yeast	0
mouse,fly,yeast,human	2
mouse,fly,yeast,worm	0
mouse,fly,yeast,rat	0
mouse,rat,human,worm	2
mouse,rat,human,fly	4
mouse,rat,human,yeast	3
mouse,rat,worm,human	2
mouse,rat,worm,fly	0
mouse,rat,worm,yeast	0
mouse,rat,fly,human	4
mouse,rat,fly,worm	0
mouse,rat,fly,yeast	0
mouse,rat,yeast,human	3
mouse,rat,yeast,worm	0
mouse,rat,yeast,fly	0
mouse,yeast,human,worm	2
mouse,yeast,human,fly	2
mouse,yeast,human,rat	3
mouse,yeast,worm,human	2
mouse,yeast,worm,fly	0
mouse,yeast,worm,rat	0
mouse,yeast,fly,human	2
mouse,yeast,fly,worm	0
mouse,yeast,fly,rat	0
mouse,yeast,rat,human	3
mouse,yeast,rat,worm	0
mouse,yeast,rat,fly	0
rat,human,worm,fly	1
rat,human,worm,mouse	2
rat,human,worm,yeast	0
rat,human,fly,worm	1
rat,human,fly,mouse	4
rat,human,fly,yeast	0
rat,human,mouse,worm	2
rat,human,mouse,fly	4
rat,human,mouse,yeast	3
rat,human,yeast,worm	0
rat,human,yeast,fly	0
rat,human,yeast,mouse	3
rat,worm,human,fly	1
rat,worm,human,mouse	2
rat,worm,human,yeast	0
rat,worm,fly,human	1
rat,worm,fly,mouse	0
rat,worm,fly,yeast	0
rat,worm,mouse,human	2
rat,worm,mouse,fly	0
rat,worm,mouse,yeast	0
rat,worm,yeast,human	0
rat,worm,yeast,fly	0
rat,worm,yeast,mouse	0
rat,fly,human,worm	1
rat,fly,human,mouse	4
rat,fly,human,yeast	0
rat,fly,worm,human	1
rat,fly,worm,mouse	0
rat,fly,worm,yeast	0
rat,fly,mouse,human	4
rat,fly,mouse,worm	0
rat,fly,mouse,yeast	0
rat,fly,yeast,human	0
rat,fly,yeast,worm	0
rat,fly,yeast,mouse	0
rat,mouse,human,worm	2
rat,mouse,human,fly	4
rat,mouse,human,yeast	3
rat,mouse,worm,human	2
rat,mouse,worm,fly	0
rat,mouse,worm,yeast	0
rat,mouse,fly,human	4
rat,mouse,fly,worm	0
rat,mouse,fly,yeast	0
rat,mouse,yeast,human	3
rat,mouse,yeast,worm	0
rat,mouse,yeast,fly	0
rat,yeast,human,worm	0
rat,yeast,human,fly	0
rat,yeast,human,mouse	3
rat,yeast,worm,human	0
rat,yeast,worm,fly	0
rat,yeast,worm,mouse	0
rat,yeast,fly,human	0
rat,yeast,fly,worm	0
rat,yeast,fly,mouse	0
rat,yeast,mouse,human	3
rat,yeast,mouse,worm	0
rat,yeast,mouse,fly	0
yeast,human,worm,fly	0
yeast,human,worm,mouse	2
yeast,human,worm,rat	0
yeast,human,fly,worm	0
yeast,human,fly,mouse	2
yeast,human,fly,rat	0
yeast,human,mouse,worm	2
yeast,human,mouse,fly	2
yeast,human,mouse,rat	3
yeast,human,rat,worm	0
yeast,human,rat,fly	0
yeast,human,rat,mouse	3
yeast,worm,human,fly	0
yeast,worm,human,mouse	2
yeast,worm,human,rat	0
yeast,worm,fly,human	0
yeast,worm,fly,mouse	0
yeast,worm,fly,rat	0
yeast,worm,mouse,human	2
yeast,worm,mouse,fly	0
yeast,worm,mouse,rat	0
yeast,worm,rat,human	0
yeast,worm,rat,fly	0
yeast,worm,rat,mouse	0
yeast,fly,human,worm	0
yeast,fly,human,mouse	2
yeast,fly,human,rat	0
yeast,fly,worm,human	0
yeast,fly,worm,mouse	0
yeast,fly,worm,rat	0
yeast,fly,mouse,human	2
yeast,fly,mouse,worm	0
yeast,fly,mouse,rat	0
yeast,fly,rat,human	0
yeast,fly,rat,worm	0
yeast,fly,rat,mouse	0
yeast,mouse,human,worm	2
yeast,mouse,human,fly	2
yeast,mouse,human,rat	3
yeast,mouse,worm,human	2
