species combination	targets
mouse, worm, fly, yeast, rat	0
mouse, worm, rat, human, fly	3
mouse, worm, rat, human, yeast	0
mouse, worm, rat, fly, human	3
mouse, worm, rat, fly, yeast	0
mouse, worm, rat, yeast, human	0
mouse, worm, rat, yeast, fly	0
mouse, worm, yeast, human, fly	1
mouse, worm, yeast, human, rat	0
mouse, worm, yeast, fly, human	1
mouse, worm, yeast, fly, rat	0
mouse, worm, yeast, rat, human	0
mouse, worm, yeast, rat, fly	0
mouse, fly, human, worm, rat	3
mouse, fly, human, worm, yeast	1
mouse, fly, human, rat, worm	3
mouse, fly, human, rat, yeast	2
mouse, fly, human, yeast, worm	1
mouse, fly, human, yeast, rat	2
mouse, fly, worm, human, rat	3
mouse, fly, worm, human, yeast	1
mouse, fly, worm, rat, human	3
mouse, fly, worm, rat, yeast	0
mouse, fly, worm, yeast, human	1
mouse, fly, worm, yeast, rat	0
mouse, fly, rat, human, worm	3
mouse, fly, rat, human, yeast	2
mouse, fly, rat, worm, human	3
mouse, fly, rat, worm, yeast	0
mouse, fly, rat, yeast, human	2
mouse, fly, rat, yeast, worm	0
mouse, fly, yeast, human, worm	1
mouse, fly, yeast, human, rat	2
mouse, fly, yeast, worm, human	1
mouse, fly, yeast, worm, rat	0
mouse, fly, yeast, rat, human	2
mouse, fly, yeast, rat, worm	0
mouse, rat, human, worm, fly	3
mouse, rat, human, worm, yeast	0
mouse, rat, human, fly, worm	3
mouse, rat, human, fly, yeast	2
mouse, rat, human, yeast, worm	0
mouse, rat, human, yeast, fly	2
mouse, rat, worm, human, fly	3
mouse, rat, worm, human, yeast	0
mouse, rat, worm, fly, human	3
mouse, rat, worm, fly, yeast	0
mouse, rat, worm, yeast, human	0
mouse, rat, worm, yeast, fly	0
mouse, rat, fly, human, worm	3
mouse, rat, fly, human, yeast	2
mouse, rat, fly, worm, human	3
mouse, rat, fly, worm, yeast	0
mouse, rat, fly, yeast, human	2
mouse, rat, fly, yeast, worm	0
mouse, rat, yeast, human, worm	0
mouse, rat, yeast, human, fly	2
mouse, rat, yeast, worm, human	0
mouse, rat, yeast, worm, fly	0
mouse, rat, yeast, fly, human	2
mouse, rat, yeast, fly, worm	0
mouse, yeast, human, worm, fly	1
mouse, yeast, human, worm, rat	0
mouse, yeast, human, fly, worm	1
mouse, yeast, human, fly, rat	2
mouse, yeast, human, rat, worm	0
mouse, yeast, human, rat, fly	2
mouse, yeast, worm, human, fly	1
mouse, yeast, worm, human, rat	0
mouse, yeast, worm, fly, human	1
mouse, yeast, worm, fly, rat	0
mouse, yeast, worm, rat, human	0
mouse, yeast, worm, rat, fly	0
mouse, yeast, fly, human, worm	1
mouse, yeast, fly, human, rat	2
mouse, yeast, fly, worm, human	1
mouse, yeast, fly, worm, rat	0
mouse, yeast, fly, rat, human	2
mouse, yeast, fly, rat, worm	0
mouse, yeast, rat, human, worm	0
mouse, yeast, rat, human, fly	2
mouse, yeast, rat, worm, human	0
mouse, yeast, rat, worm, fly	0
mouse, yeast, rat, fly, human	2
mouse, yeast, rat, fly, worm	0
rat, human, worm, fly, mouse	3
rat, human, worm, fly, yeast	0
rat, human, worm, mouse, fly	3
rat, human, worm, mouse, yeast	0
rat, human, worm, yeast, fly	0
rat, human, worm, yeast, mouse	0
rat, human, fly, worm, mouse	3
rat, human, fly, worm, yeast	0
rat, human, fly, mouse, worm	3
rat, human, fly, mouse, yeast	2
rat, human, fly, yeast, worm	0
rat, human, fly, yeast, mouse	2
rat, human, mouse, worm, fly	3
rat, human, mouse, worm, yeast	0
rat, human, mouse, fly, worm	3
rat, human, mouse, fly, yeast	2
rat, human, mouse, yeast, worm	0
rat, human, mouse, yeast, fly	2
rat, human, yeast, worm, fly	0
rat, human, yeast, worm, mouse	0
rat, human, yeast, fly, worm	0
rat, human, yeast, fly, mouse	2
rat, human, yeast, mouse, worm	0
rat, human, yeast, mouse, fly	2
rat, worm, human, fly, mouse	3
rat, worm, human, fly, yeast	0
rat, worm, human, mouse, fly	3
rat, worm, human, mouse, yeast	0
rat, worm, human, yeast, fly	0
rat, worm, human, yeast, mouse	0
rat, worm, fly, human, mouse	3
rat, worm, fly, human, yeast	0
rat, worm, fly, mouse, human	3
rat, worm, fly, mouse, yeast	0
rat, worm, fly, yeast, human	0
rat, worm, fly, yeast, mouse	0
rat, worm, mouse, human, fly	3
rat, worm, mouse, human, yeast	0
rat, worm, mouse, fly, human	3
rat, worm, mouse, fly, yeast	0
rat, worm, mouse, yeast, human	0
rat, worm, mouse, yeast, fly	0
rat, worm, yeast, human, fly	0
rat, worm, yeast, human, mouse	0
rat, worm, yeast, fly, human	0
rat, worm, yeast, fly, mouse	0
rat, worm, yeast, mouse, human	0
rat, worm, yeast, mouse, fly	0
rat, fly, human, worm, mouse	3
rat, fly, human, worm, yeast	0
rat, fly, human, mouse, worm	3
rat, fly, human, mouse, yeast	2
rat, fly, human, yeast, worm	0
rat, fly, human, yeast, mouse	2
rat, fly, worm, human, mouse	3
rat, fly, worm, human, yeast	0
rat, fly, worm, mouse, human	3
rat, fly, worm, mouse, yeast	0
rat, fly, worm, yeast, human	0
rat, fly, worm, yeast, mouse	0
rat, fly, mouse, human, worm	3
rat, fly, mouse, human, yeast	2
rat, fly, mouse, worm, human	3
rat, fly, mouse, worm, yeast	0
rat, fly, mouse, yeast, human	2
rat, fly, mouse, yeast, worm	0
rat, fly, yeast, human, worm	0
rat, fly, yeast, human, mouse	2
rat, fly, yeast, worm, human	0
rat, fly, yeast, worm, mouse	0
rat, fly, yeast, mouse, human	2
rat, fly, yeast, mouse, worm	0
rat, mouse, human, worm, fly	3
rat, mouse, human, worm, yeast	0
rat, mouse, human, fly, worm	3
rat, mouse, human, fly, yeast	2
rat, mouse, human, yeast, worm	0
rat, mouse, human, yeast, fly	2
rat, mouse, worm, human, fly	3
rat, mouse, worm, human, yeast	0
rat, mouse, worm, fly, human	3
rat, mouse, worm, fly, yeast	0
rat, mouse, worm, yeast, human	0
rat, mouse, worm, yeast, fly	0
rat, mouse, fly, human, worm	3
rat, mouse, fly, human, yeast	2
rat, mouse, fly, worm, human	3
rat, mouse, fly, worm, yeast	0
rat, mouse, fly, yeast, human	2
rat, mouse, fly, yeast, worm	0
rat, mouse, yeast, human, worm	0
rat, mouse, yeast, human, fly	2
rat, mouse, yeast, worm, human	0
rat, mouse, yeast, worm, fly	0
rat, mouse, yeast, fly, human	2
rat, mouse, yeast, fly, worm	0
rat, yeast, human, worm, fly	0
rat, yeast, human, worm, mouse	0
rat, yeast, human, fly, worm	0
rat, yeast, human, fly, mouse	2
rat, yeast, human, mouse, worm	0
rat, yeast, human, mouse, fly	2
rat, yeast, worm, human, fly	0
rat, yeast, worm, human, mouse	0
rat, yeast, worm, fly, human	0
rat, yeast, worm, fly, mouse	0
rat, yeast, worm, mouse, human	0
rat, yeast, worm, mouse, fly	0
rat, yeast, fly, human, worm	0
rat, yeast, fly, human, mouse	2
rat, yeast, fly, worm, human	0
rat, yeast, fly, worm, mouse	0
rat, yeast, fly, mouse, human	2
rat, yeast, fly, mouse, worm	0
rat, yeast, mouse, human, worm	0
rat, yeast, mouse, human, fly	2
rat, yeast, mouse, worm, human	0
rat, yeast, mouse, worm, fly	0
rat, yeast, mouse, fly, human	2
rat, yeast, mouse, fly, worm	0
yeast, human, worm, fly, mouse	1
yeast, human, worm, fly, rat	0
yeast, human, worm, mouse, fly	1
yeast, human, worm, mouse, rat	0
yeast, human, worm, rat, fly	0
yeast, human, worm, rat, mouse	0
yeast, human, fly, worm, mouse	1
yeast, human, fly, worm, rat	0
yeast, human, fly, mouse, worm	1
yeast, human, fly, mouse, rat	2
yeast, human, fly, rat, worm	0
yeast, human, fly, rat, mouse	2
yeast, human, mouse, worm, fly	1
yeast, human, mouse, worm, rat	0
yeast, human, mouse, fly, worm	1
yeast, human, mouse, fly, rat	2
yeast, human, mouse, rat, worm	0
yeast, human, mouse, rat, fly	2
yeast, human, rat, worm, fly	0
yeast, human, rat, worm, mouse	0
yeast, human, rat, fly, worm	0
yeast, human, rat, fly, mouse	2
yeast, human, rat, mouse, worm	0
yeast, human, rat, mouse, fly	2
yeast, worm, human, fly, mouse	1
yeast, worm, human, fly, rat	0
yeast, worm, human, mouse, fly	1
yeast, worm, human, mouse, rat	0
yeast, worm, human, rat, fly	0
yeast, worm, human, rat, mouse	0
yeast, worm, fly, human, mouse	1
yeast, worm, fly, human, rat	0
yeast, worm, fly, mouse, human	1
yeast, worm, fly, mouse, rat	0
yeast, worm, fly, rat, human	0
yeast, worm, fly, rat, mouse	0
yeast, worm, mouse, human, fly	1
yeast, worm, mouse, human, rat	0
yeast, worm, mouse, fly, human	1
yeast, worm, mouse, fly, rat	0
yeast, worm, mouse, rat, human	0
yeast, worm, mouse, rat, fly	0
yeast, worm, rat, human, fly	0
yeast, worm, rat, human, mouse	0
yeast, worm, rat, fly, human	0
yeast, worm, rat, fly, mouse	0
yeast, worm, rat, mouse, human	0
yeast, worm, rat, mouse, fly	0
yeast, fly, human, worm, mouse	1
yeast, fly, human, worm, rat	0
yeast, fly, human, mouse, worm	1
yeast, fly, human, mouse, rat	2
yeast, fly, human, rat, worm	0
yeast, fly, human, rat, mouse	2
yeast, fly, worm, human, mouse	1
yeast, fly, worm, human, rat	0
yeast, fly, worm, mouse, human	1
yeast, fly, worm, mouse, rat	0
yeast, fly, worm, rat, human	0
yeast, fly, worm, rat, mouse	0
yeast, fly, mouse, human, worm	1
yeast, fly, mouse, human, rat	2
yeast, fly, mouse, worm, human	1
yeast, fly, mouse, worm, rat	0
yeast, fly, mouse, rat, human	2
yeast, fly, mouse, rat, worm	0
yeast, fly, rat, human, worm	0
yeast, fly, rat, human, mouse	2
yeast, fly, rat, worm, human	0
yeast, fly, rat, worm, mouse	0
yeast, fly, rat, mouse, human	2
yeast, fly, rat, mouse, worm	0
yeast, mouse, human, worm, fly	1
yeast, mouse, human, worm, rat	0
yeast, mouse, human, fly, worm	1
yeast, mouse, human, fly, rat	2
yeast, mouse, human, rat, worm	0
yeast, mouse, human, rat, fly	2
yeast, mouse, worm, human, fly	1
yeast, mouse, worm, human, rat	0
yeast, mouse, worm, fly, human	1
yeast, mouse, worm, fly, rat	0
yeast, mouse, worm, rat, human	0
yeast, mouse, worm, rat, fly	0
yeast, mouse, fly, human, worm	1
yeast, mouse, fly, human, rat	2
yeast, mouse, fly, worm, human	1
yeast, mouse, fly, worm, rat	0
yeast, mouse, fly, rat, human	2
yeast, mouse, fly, rat, worm	0
yeast, mouse, rat, human, worm	0
yeast, mouse, rat, human, fly	2
yeast, mouse, rat, worm, human	0
yeast, mouse, rat, worm, fly	0
yeast, mouse, rat, fly, human	2
yeast, mouse, rat, fly, worm	0
yeast, rat, human, worm, fly	0
yeast, rat, human, worm, mouse	0
yeast, rat, human, fly, worm	0
yeast, rat, human, fly, mouse	2
yeast, rat, human, mouse, worm	0
yeast, rat, human, mouse, fly	2
yeast, rat, worm, human, fly	0
yeast, rat, worm, human, mouse	0
yeast, rat, worm, fly, human	0
yeast, rat, worm, fly, mouse	0
yeast, rat, worm, mouse, human	0
yeast, rat, worm, mouse, fly	0
yeast, rat, fly, human, worm	0
yeast, rat, fly, human, mouse	2
yeast, rat, fly, worm, human	0
yeast, rat, fly, worm, mouse	0
yeast, rat, fly, mouse, human	2
yeast, rat, fly, mouse, worm	0
yeast, rat, mouse, human, worm	0
yeast, rat, mouse, human, fly	2
yeast, rat, mouse, worm, human	0
yeast, rat, mouse, worm, fly	0
yeast, rat, mouse, fly, human	2
yeast, rat, mouse, fly, worm	0
worm,human,yeast,fly,rat,mouse	0
