human: 3713
ENSG00000214814
ENSG00000205754
ENSG00000105464
ENSG00000068366
ENSG00000103222
ENSG00000149782
ENSG00000188340
ENSG00000177700
ENSG00000244682
ENSG00000107105
ENSG00000167194
ENSG00000136710
ENSG00000171497 
ENSG00000182551
ENSG00000142910
ENSG00000128655
ENSG00000143319
ENSG00000143850
ENSG00000135749
ENSG00000074621
ENSG00000081237
ENSG00000187164
ENSG00000196449
ENSG00000197409
ENSG00000135709
ENSG00000115685
ENSG00000145868
ENSG00000172932
ENSG00000167632
ENSG00000197885
ENSG00000116161 
ENSG00000203730
ENSG00000168334
ENSG00000131437
ENSG00000160323
ENSG00000135976
ENSG00000142273
ENSG00000121644
ENSG00000105426
ENSG00000149527
ENSG00000103742
ENSG00000105323
ENSG00000123104
ENSG00000092841
ENSG00000147606
ENSG00000001631
ENSG00000050767
ENSG00000183864
ENSG00000135953
ENSG00000163507
ENSG00000104814
ENSG00000007392
ENSG00000127325
ENSG00000162825
ENSG00000250506
ENSG00000163349
ENSG00000186439
ENSG00000130762
ENSG00000179981
ENSG00000139083
ENSG00000185359
ENSG00000129250
ENSG00000178988
ENSG00000128408
ENSG00000131966
ENSG00000115540
ENSG00000067221
ENSG00000133794
ENSG00000087088
ENSG00000146540
ENSG00000120949
ENSG00000086696
ENSG00000145808
ENSG00000117394
ENSG00000186566
ENSG00000102934
ENSG00000148690
ENSG00000130560
ENSG00000053747
ENSG00000256525
ENSG00000100258
ENSG00000188086
ENSG00000108344
ENSG00000121060
ENSG00000038382
ENSG00000148584
ENSG00000137752
ENSG00000196976
ENSG00000138398
ENSG00000162148
ENSG00000152804
ENSG00000182256
ENSG00000212916
ENSG00000116288
ENSG00000136732
ENSG00000130522
ENSG00000172264
ENSG00000213015
ENSG00000065883
ENSG00000120334
ENSG00000117262 
ENSG00000101019
ENSG00000115461
ENSG00000115977
ENSG00000099331
ENSG00000119946
ENSG00000163697
ENSG00000169242
ENSG00000081277
ENSG00000177963
ENSG00000169035
ENSG00000006062
ENSG00000142546
ENSG00000112378
ENSG00000173020
ENSG00000166016
ENSG00000169717
ENSG00000187944
ENSG00000204616
ENSG00000261742
ENSG00000278619
ENSG00000133135
ENSG00000166960
ENSG00000197847
ENSG00000004478 
ENSG00000101361
ENSG00000044115
ENSG00000183833
ENSG00000156504
ENSG00000081019
ENSG00000125650
ENSG00000160808
ENSG00000171617
ENSG00000198021
ENSG00000184378
ENSG00000281720
ENSG00000106852
ENSG00000117620
ENSG00000212643
ENSG00000262209
ENSG00000048649
ENSG00000087884
ENSG00000108590
ENSG00000116035
ENSG00000205352
ENSG00000066777
ENSG00000179869
ENSG00000197915
ENSG00000137502
ENSG00000173156
ENSG00000155849
ENSG00000205269
ENSG00000147383
ENSG00000185753
ENSG00000179750
ENSG00000151693
ENSG00000109180
ENSG00000121864
ENSG00000187908
ENSG00000205054
ENSG00000183579
ENSG00000035664
ENSG00000188493
ENSG00000165215
ENSG00000117154
ENSG00000197442
ENSG00000101222
ENSG00000151458
ENSG00000179195
ENSG00000184678
ENSG00000185010 
ENSG00000078018
ENSG00000087085
ENSG00000157933
ENSG00000198752
ENSG00000130304
ENSG00000035115
ENSG00000069812
ENSG00000128298
ENSG00000152778
ENSG00000145864
ENSG00000183918
ENSG00000198755 
ENSG00000147010
ENSG00000120742
ENSG00000153902
ENSG00000233822
ENSG00000108175
ENSG00000187189
ENSG00000182952
ENSG00000254996
ENSG00000105483
ENSG00000135040
ENSG00000104490
ENSG00000214063
ENSG00000134107
ENSG00000167281
ENSG00000162576
ENSG00000042781
ENSG00000113721
ENSG00000172037
ENSG00000186226
ENSG00000114735
ENSG00000049130
ENSG00000160753
ENSG00000147324
ENSG00000177888
ENSG00000132801
ENSG00000125538
ENSG00000100139
ENSG00000164172
ENSG00000114120
ENSG00000254221
ENSG00000064195
ENSG00000156381 
ENSG00000169435
ENSG00000145113
ENSG00000179284
ENSG00000186409
ENSG00000086544
ENSG00000182771
ENSG00000187609
ENSG00000065325
ENSG00000141293
ENSG00000174010
ENSG00000104221
ENSG00000267104
ENSG00000274829
ENSG00000131558
ENSG00000107018
ENSG00000068912
ENSG00000128709
ENSG00000072135
ENSG00000185860
ENSG00000067798
ENSG00000130508
ENSG00000130147
ENSG00000131669
ENSG00000085274
ENSG00000139372
ENSG00000170456
ENSG00000101911
ENSG00000132768
ENSG00000131459
ENSG00000180891
ENSG00000280641
ENSG00000112685
ENSG00000151835
ENSG00000116017
ENSG00000134809
ENSG00000162601
ENSG00000069011
ENSG00000178053
ENSG00000176700
ENSG00000186026
ENSG00000105991
ENSG00000102858
ENSG00000188419
ENSG00000166086
ENSG00000103363
ENSG00000100276
ENSG00000167797
ENSG00000108849
ENSG00000066422
ENSG00000008517
ENSG00000165084
ENSG00000124657
ENSG00000137968
ENSG00000165973
ENSG00000149639
ENSG00000101888
ENSG00000198156
ENSG00000217128
ENSG00000006837
ENSG00000170929
ENSG00000263894
ENSG00000197563
ENSG00000147174
ENSG00000101160
ENSG00000178127
ENSG00000243709
ENSG00000172345
ENSG00000262814
ENSG00000135686
ENSG00000168148
ENSG00000100034
ENSG00000182459
ENSG00000110092
ENSG00000167625
ENSG00000176988
ENSG00000102901
ENSG00000151240
ENSG00000160325
ENSG00000100028
ENSG00000170502
ENSG00000168060
ENSG00000106123
ENSG00000275837
ENSG00000197857
ENSG00000131653
ENSG00000103056
ENSG00000118263
ENSG00000075975
ENSG00000168818
ENSG00000183520
ENSG00000160951
ENSG00000167880
ENSG00000182095
ENSG00000162433
ENSG00000162769
ENSG00000173110
ENSG00000185338
ENSG00000108244
ENSG00000279111
ENSG00000115009
ENSG00000131620
ENSG00000187066
ENSG00000132604
ENSG00000167645
ENSG00000184178
ENSG00000100867
ENSG00000170325
ENSG00000145817
ENSG00000188100
ENSG00000234704
ENSG00000103227
ENSG00000240583
ENSG00000106266
ENSG00000178026
ENSG00000165494
ENSG00000106688
ENSG00000189171
ENSG00000115687
ENSG00000187187
ENSG00000173546
ENSG00000124429
ENSG00000145191
ENSG00000101868
ENSG00000204386
ENSG00000121318
ENSG00000196872
ENSG00000116133
ENSG00000161958
ENSG00000181827
ENSG00000073734
ENSG00000196415
ENSG00000173349
ENSG00000157106
ENSG00000041982
ENSG00000150403
ENSG00000254445
ENSG00000133872
ENSG00000278828
ENSG00000140988
ENSG00000084733
ENSG00000076321
ENSG00000179526
ENSG00000188986
ENSG00000159374
ENSG00000102271
ENSG00000184489
ENSG00000183715
