vertebrate: 5486
ENSG00000005243
ENSG00000124275
ENSG00000172785
ENSG00000105722
ENSG00000144815
ENSG00000078369
ENSG00000116194
ENSG00000181904
ENSG00000155897
ENSG00000109046
ENSG00000143028
ENSG00000169116
ENSG00000177606
ENSG00000163904
ENSG00000137513
ENSG00000103549
ENSG00000137707
ENSG00000125037
ENSG00000103966
ENSG00000146215
ENSG00000156853
ENSG00000100526
ENSG00000100324
ENSG00000187720
ENSG00000213281
ENSG00000181991
ENSG00000275722
ENSG00000125968
ENSG00000162804
ENSG00000142733
ENSG00000156395
ENSG00000102225
ENSG00000162039
ENSG00000186976
ENSG00000128641
ENSG00000120008
ENSG00000149970
ENSG00000105355
ENSG00000137101
ENSG00000164488
ENSG00000089818
ENSG00000125347
ENSG00000111641
ENSG00000164190
ENSG00000184371
ENSG00000116641
ENSG00000187398
ENSG00000178234
ENSG00000137154
ENSG00000159842
ENSG00000156017
ENSG00000177106
ENSG00000126814
ENSG00000146872
ENSG00000048392
ENSG00000038358
ENSG00000009780
ENSG00000196396
ENSG00000116489
ENSG00000040199
ENSG00000138587
ENSG00000142687
ENSG00000089234
ENSG00000105851
ENSG00000197140
ENSG00000179761
ENSG00000174842
ENSG00000185787
ENSG00000091137
ENSG00000139651
ENSG00000177508
ENSG00000185274
ENSG00000113648
ENSG00000151503
ENSG00000221855
ENSG00000186432
ENSG00000183624
ENSG00000139668
ENSG00000157927
ENSG00000103811
ENSG00000138231
ENSG00000120458
ENSG00000162763
ENSG00000178403
ENSG00000170819
ENSG00000023734
ENSG00000112031
ENSG00000182379
ENSG00000112499
ENSG00000107643
ENSG00000076242
ENSG00000275835
ENSG00000121741
ENSG00000165832
ENSG00000162066
ENSG00000108984
ENSG00000164941
ENSG00000148057
ENSG00000000003
ENSG00000156273
ENSG00000064703
ENSG00000110274
ENSG00000143344
ENSG00000183208
ENSG00000244617
ENSG00000014824
ENSG00000008277
ENSG00000132846
ENSG00000105612
ENSG00000204394
ENSG00000138688
ENSG00000177272
ENSG00000100433
ENSG00000103257
ENSG00000103502
ENSG00000130876
ENSG00000107140
ENSG00000172421
ENSG00000157557
ENSG00000273155
ENSG00000117155
ENSG00000189377
ENSG00000156976
ENSG00000144567
ENSG00000164604
ENSG00000151952
ENSG00000126091
ENSG00000134202
ENSG00000111665
ENSG00000119711
ENSG00000141424
ENSG00000148362
ENSG00000180263
ENSG00000100997
