Oocyte
ensembl:ENSMUSG00000003545
ensembl:ENSMUSG00000025480
ensembl:ENSMUSG00000023110
ensembl:ENSMUSG00000040760
ensembl:ENSMUSG00000002068
ensembl:ENSMUSG00000004698
ensembl:ENSMUSG00000049932
ensembl:ENSMUSG00000046861
ensembl:ENSMUSG00000003031
ensembl:ENSMUSG00000009628
ensembl:ENSMUSG00000025408
ensembl:ENSMUSG00000035842
ensembl:ENSMUSG00000056394
ensembl:ENSMUSG00000031787
ensembl:ENSMUSG00000009073
ensembl:ENSMUSG00000049717
ensembl:ENSMUSG00000036928
ensembl:ENSMUSG00000022089
ensembl:ENSMUSG00000024190
ensembl:ENSMUSG00000028864
ensembl:ENSMUSG00000033016
ensembl:ENSMUSG00000059970
ensembl:ENSMUSG00000008398
ensembl:ENSMUSG00000020525
ensembl:ENSMUSG00000020232
ensembl:ENSMUSG00000004085
ensembl:ENSMUSG00000037664
ensembl:ENSMUSG00000057130
ensembl:ENSMUSG00000018841
ensembl:ENSMUSG00000038416
ensembl:ENSMUSG00000038015
ensembl:ENSMUSG00000025862
ensembl:ENSMUSG00000028161
ensembl:ENSMUSG00000054364
ensembl:ENSMUSG00000021365
ensembl:ENSMUSG00000022456
ensembl:ENSMUSG00000032968
ensembl:ENSMUSG00000014859
ensembl:ENSMUSG00000093798
ensembl:ENSMUSG00000042129
ensembl:ENSMUSG00000036779
ensembl:ENSMUSG00000034219
ensembl:ENSMUSG00000026039
ensembl:ENSMUSG00000040435
ensembl:ENSMUSG00000070837
ensembl:ENSMUSG00000040084
ensembl:ENSMUSG00000029003
ensembl:ENSMUSG00000018983


Spermatocyte
ensembl:ENSMUSG00000021611
ensembl:ENSMUSG00000116031
ensembl:ENSMUSG00000029656
ensembl:ENSMUSG00000030869
ensembl:ENSMUSG00000024477
ensembl:ENSMUSG00000059898
ensembl:ENSMUSG00000031516
ensembl:ENSMUSG00000057726
ensembl:ENSMUSG00000067288
ensembl:ENSMUSG00000038569
ensembl:ENSMUSG00000022842
ensembl:ENSMUSG00000021944
ensembl:ENSMUSG00000028533
ensembl:ENSMUSG00000025504
ensembl:ENSMUSG00000027630
ensembl:ENSMUSG00000020806
ensembl:ENSMUSG00000110759
ensembl:ENSMUSG00000053030
ensembl:ENSMUSG00000002996
ensembl:ENSMUSG00000054087
ensembl:ENSMUSG00000096197
ensembl:ENSMUSG00000099353
ensembl:ENSMUSG00000035606
ensembl:ENSMUSG00000021559
ensembl:ENSMUSG00000058317
ensembl:ENSMUSG00000029126
ensembl:ENSMUSG00000074748
ensembl:ENSMUSG00000019873
ensembl:ENSMUSG00000033352
ensembl:ENSMUSG00000050625
ensembl:ENSMUSG00000025971
ensembl:ENSMUSG00000044030
ensembl:ENSMUSG00000096098
ensembl:ENSMUSG00000039908
ensembl:ENSMUSG00000026786
ensembl:ENSMUSG00000049690
ensembl:ENSMUSG00000022205
ensembl:ENSMUSG00000031963
ensembl:ENSMUSG00000031825
ensembl:ENSMUSG00000035764
ensembl:ENSMUSG00000079625
ensembl:ENSMUSG00000035183
ensembl:ENSMUSG00000025243
ensembl:ENSMUSG00000026220
ensembl:ENSMUSG00000062510
ensembl:ENSMUSG00000025439
ensembl:ENSMUSG00000054612
ensembl:ENSMUSG00000008206
ensembl:ENSMUSG00000022051
ensembl:ENSMUSG00000051435
ensembl:ENSMUSG00000024597
ensembl:ENSMUSG00000040423
ensembl:ENSMUSG00000032182
ensembl:ENSMUSG00000030019
ensembl:ENSMUSG00000024136
ensembl:ENSMUSG00000095172
ensembl:ENSMUSG00000043300
ensembl:ENSMUSG00000039795
ensembl:ENSMUSG00000032329
ensembl:ENSMUSG00000022176
ensembl:ENSMUSG00000100297
ensembl:ENSMUSG00000042078
ensembl:ENSMUSG00000070319
ensembl:ENSMUSG00000026500
ensembl:ENSMUSG00000000085
ensembl:ENSMUSG00000028073
ensembl:ENSMUSG00000058145
ensembl:ENSMUSG00000028019
ensembl:ENSMUSG00000009114
ensembl:ENSMUSG00000007646
ensembl:ENSMUSG00000000253
ensembl:ENSMUSG00000038366
ensembl:ENSMUSG00000035042
ensembl:ENSMUSG00000093738
ensembl:ENSMUSG00000039155
ensembl:ENSMUSG00000032870
ensembl:ENSMUSG00000036246
ensembl:ENSMUSG00000025473
ensembl:ENSMUSG00000043066
ensembl:ENSMUSG00000062397
ensembl:ENSMUSG00000047109
ensembl:ENSMUSG00000036902
ensembl:ENSMUSG00000021807
ensembl:ENSMUSG00000051956
ensembl:ENSMUSG00000020849
ensembl:ENSMUSG00000043060
ensembl:ENSMUSG00000042203
ensembl:ENSMUSG00000075083
ensembl:ENSMUSG00000074715
ensembl:ENSMUSG00000104870
ensembl:ENSMUSG00000040929
ensembl:ENSMUSG00000032513
ensembl:ENSMUSG00000027832
ensembl:ENSMUSG00000020841
ensembl:ENSMUSG00000029517
ensembl:ENSMUSG00000020260
ensembl:ENSMUSG00000059456
ensembl:ENSMUSG00000003644
ensembl:ENSMUSG00000049507
ensembl:ENSMUSG00000068428
ensembl:ENSMUSG00000079564
ensembl:ENSMUSG00000066477
ensembl:ENSMUSG00000086333
ensembl:ENSMUSG00000079427
ensembl:ENSMUSG00000021958
ensembl:ENSMUSG00000058174
ensembl:ENSMUSG00000095322
ensembl:ENSMUSG00000003279
ensembl:ENSMUSG00000029182
ensembl:ENSMUSG00000010342
ensembl:ENSMUSG00000101978
ensembl:ENSMUSG00000041923
ensembl:ENSMUSG00000026516
ensembl:ENSMUSG00000022790
ensembl:ENSMUSG00000047342
ensembl:ENSMUSG00000001665
ensembl:ENSMUSG00000016552
ensembl:ENSMUSG00000041598
ensembl:ENSMUSG00000069796
ensembl:ENSMUSG00000025873
ensembl:ENSMUSG00000115727
ensembl:ENSMUSG00000048731
ensembl:ENSMUSG00000027306
ensembl:ENSMUSG00000059206
ensembl:ENSMUSG00000027710
ensembl:ENSMUSG00000015341
ensembl:ENSMUSG00000034310
ensembl:ENSMUSG00000085122
ensembl:ENSMUSG00000048483
ensembl:ENSMUSG00000023883
ensembl:ENSMUSG00000020722
ensembl:ENSMUSG00000029228
ensembl:ENSMUSG00000030683
ensembl:ENSMUSG00000040420
ensembl:ENSMUSG00000042797
ensembl:ENSMUSG00000056493
ensembl:ENSMUSG00000105279
ensembl:ENSMUSG00000004637
ensembl:ENSMUSG00000039079
ensembl:ENSMUSG00000032599
ensembl:ENSMUSG00000056629
ensembl:ENSMUSG00000072258
ensembl:ENSMUSG00000064330
ensembl:ENSMUSG00000024516
ensembl:ENSMUSG00000069118
ensembl:ENSMUSG00000028414
ensembl:ENSMUSG00000017386
ensembl:ENSMUSG00000070933
ensembl:ENSMUSG00000035235
ensembl:ENSMUSG00000025474
ensembl:ENSMUSG00000033557
ensembl:ENSMUSG00000032393
ensembl:ENSMUSG00000001211
ensembl:ENSMUSG00000084757
ensembl:ENSMUSG00000028691
ensembl:ENSMUSG00000118154
ensembl:ENSMUSG00000073455
ensembl:ENSMUSG00000001280
ensembl:ENSMUSG00000026926
ensembl:ENSMUSG00000049583
ensembl:ENSMUSG00000047216
ensembl:ENSMUSG00000038347
ensembl:ENSMUSG00000071074
ensembl:ENSMUSG00000052407
ensembl:ENSMUSG00000019539
ensembl:ENSMUSG00000067795
ensembl:ENSMUSG00000020064
ensembl:ENSMUSG00000091497
ensembl:ENSMUSG00000049946
ensembl:ENSMUSG00000024521
ensembl:ENSMUSG00000076217
ensembl:ENSMUSG00000025326
ensembl:ENSMUSG00000035258
ensembl:ENSMUSG00000063972
ensembl:ENSMUSG00000021720
ensembl:ENSMUSG00000050085
ensembl:ENSMUSG00000001333
ensembl:ENSMUSG00000028137
ensembl:ENSMUSG00000099639
ensembl:ENSMUSG00000050663
ensembl:ENSMUSG00000071796
ensembl:ENSMUSG00000026836
