HeLa (cervix adenocarcinoma); erythroleukemia cells	 
BPE cells (breast epithelium); BPLER cells (breast epithelium); HMLER cells (breast epithelium); HeLa (cervix adenocarcinoma)	 
 	RRAD


BPE cells (breast epithelium); BPLER cells (breast epithelium); HMLER cells (breast epithelium); HeLa (cervix adenocarcinoma); MCF7 cells (breast epithelium)	 
 	CES2


BPE cells (breast epithelium); BPLER cells (breast epithelium); HME1 cells (breast epithelium)	 
 	C20orf19
 	C20orf117
 	KIAA1026
 	ADC
 	AK3L1
 	NAT13
 	C2orf55
 	LOC26010
 	C6orf106
 	C6orf211
 	KIAA1045
 	C9orf91
 	KIAA0146
 	NIBP
 	PPYR1
 	C10orf54
 	CCDC109A
 	TTC18
 	C10orf116
 	KIAA1975
 	TMEM16F
 	RAD51L1
 	C14orf43
 	CENTB1
 	C17orf68
 	LOC124512
 	SFRS2
 	SEPTIN9
 	KIAA1303
 	FLJ35767
 	GPSN2
 	GAL7
 	ADCK4
 	C19orf61
 	C18orf55
 	HECW1
 	SLC45A4
 	TRAPPC3
 	PTPRN
 	SYNE2
 	RASGRF1
 	GPBP1
 	TNPO3
 	HEATR6
 	TTC7A
 	MAST4
 	PAG1
 	WDR70
 	EIF3I
 	ITPKC
 	PNPLA5
 	CDC25B
 	LAMA1
 	SMS
 	NFAT5
 	FAM83E
 	SUSD1
 	GLIS3
 	RAD51C
 	MANBA
 	PDGFRB
 	KPNA1
 	CLIP4
 	MAP7D1
 	METTL8
 	BCAS4
 	TRERF1
 	MKKS
 	FRMD8
 	RRAS
 	PRR12
 	MACF1
 	DOCK4
 	MYO5C
 	FUT5
 	LSM4
 	PDZD2
 	CDC73
 	CCNJL
 	TEX2
 	DNAJB5
 	NARS2
 	KIF21A
 	IGF1R
 	FCGR2A
 	PLEKHA6
 	PHLDB2
 	TUT1
 	TEX12
 	DHX37
 	BTBD11
 	AKAP6
 	SCHIP1
 	RABGAP1L
 	MGAT5
 	C18orf25
 	PROM2
 	RMND1
 	AFF2
 	GNAQ
 	FBXO32
 	FANCC
 	CHCHD6
 	MEGF6
 	NCSTN
 	PBXIP1
 	IGFBP7
 	CCNL1
 	CMBL
 	HEXIM2
 	ALG14
 	SH3PXD2B
 	CTBP2
 	GPR156
 	RTTN
 	MYO1D
 	ZBTB38
 	SAMD12
 	FGD6
 	LSM10
 	KCNIP1
 	KLHL25
 	BAGE2
 	NWD1
 	PNRC2
 	FHIT
 	STK40
 	PPP1R14C
 	EFCAB2
 	SPIRE2
 	KCTD11
 	C17orf67
 	CDKN2AIPNL
 	PALM2
 	N4BP2L2
