HeLa (cervix adenocarcinoma); erythroleukemia cells	 
 	MARCHF3
 	CENTD3
 	C5orf41
 	WHSC1
 	CNO
 	TMEM34
 	LOC729830
 	ODZ3
 	BTN2A3
 	ZNF322A
 	KIAA0776
 	TXNDC4
 	C9orf5
 	FLJ43582
 	RDHE2
 	PXMP3
 	C8ORFK36
 	KIAA0196
 	KIAA1688
 	C7orf10
 	FLJ21062
 	DKFZP564O0523
 	TRYX3
 	UTX
 	MCART6
 	DPH4
 	C10orf97
 	MARCHF5
 	KIAA1754
 	LHFP
 	CCDC41
 	FLJ42957
 	EXDL1
 	C14orf153
 	LOC201229
 	SNIP
 	C17orf57
 	TCEB2
 	KIAA0174
 	PGLS
 	FLJ16165
 	SS18
 	FAM59A
 	SNX11
 	M6PR
 	MPND
 	REV3L
 	HIVEP2
 	SNAI2
 	NRXN3
 	ABCC2
 	RRAGD
 	BTN3A1
 	SLC39A9
 	RNF19A
 	VCL
 	NSMAF
 	CUL3
 	RAI14
 	CTNNA1
 	R3HDM1
 	OPN3
 	ZNF275
 	HIPK2
 	TBC1D22B
 	NGEF
 	TRAM1
 	NAV3
 	LAPTM4A
 	KIF2A
 	PFN2
 	TESK2
 	UBE2D1
 	EVC
 	NDE1
 	EIF4G3
 	DGKD
 	DYNC1I2
 	SLC25A43
 	PCM1
 	EPHA6
 	CLDND1
 	PCDHGA2
 	ULK2
 	NUFIP1
 	ZMPSTE24
 	WDR47
 	MGST2
 	HSD17B2
 	MTMR2
 	BAX
 	PIGS
 	PSMC5
 	TXNDC16
 	GNA11
 	EPB41L1
 	SLC4A11
 	ALKBH5
 	CDC5L
 	MAST3
 	HSCB
 	PACSIN2
 	TNRC6B
 	PSMA3
 	ERH
 	CHD8
 	POFUT1
 	MID1
 	WDR13
 	NDFIP2
 	FNDC3A
 	CAB39L
 	TRIM35
 	INTS9
 	UBR5
 	TNFRSF10A
 	CADM4
 	ATP6V0A4
 	CPVL
 	PHYH
 	MINPP1
 	SORCS1
 	RNF43
 	FTSJ3
 	SMARCD2
 	B9D1
 	COL1A1
 	PMP22
 	UNC119
 	SLAIN2
 	CLCN3
 	SLC2A9
 	UFSP2
 	DCPS
 	EIF4G2
 	CAPRIN2
 	PPM1H
 	VPS29
 	SLC38A1
 	BMP5
 	CCNC
 	CCR6
 	GHR
 	MRPS27
 	RASGRF2
 	TTC33
 	UBE3A
 	NCBP2
 	DGUOK
 	STAM2
 	PSMD14
 	PLA2G4A
 	BCAS2
 	RLF
 	B4GALT2
 	DPH5
 	NRP2
 	STBD1
 	RARRES1
 	WDR35
 	ITGB1BP1
 	CPSF3
 	SENP5
 	CTNNAL1
 	MAPKAP1
 	GALNT12
 	SUPT7L
 	ATAD2B
 	MTHFD1L
 	CENPL
 	SEC16B
 	SNX19
 	NCAPH
 	TNFSF10
 	TMEM156
 	MTIF3
 	UBL3
 	INHBA
 	BICC1
 	RBM19
 	SSPN
 	ITPR2
 	ATP7B
 	ZC3H13
 	OPTN
 	BAZ2B
 	KCNS1
 	MCEE
 	USP22
 	SLC17A1
 	DNAH8
 	COL21A1
 	RAB17
 	PLAGL2
 	PROZ
 	UXT
 	BCL11B
 	UBR4
 	MTX2
 	HERC2
 	CLN6
 	E2F8
 	PHF20L1
 	CCNT1
 	EPB41L4A
 	SLC27A1
 	TULP4
 	SNX9
 	C6orf203
 	RSPH3
 	MNX1
 	AKAP12
 	KHDRBS3
 	ACTR10
 	LGALS3
 	FBXW9
 	CNGA4
 	PER2
 	GUCY2D
 	MMACHC
 	DPH2
 	TOE1
 	MUTYH
 	KANK4
 	CDK8
 	DCLK1
 	RNF128
 	MYO18B
 	FAM83F
 	EIF2S1
 	IER3IP1
 	CD180
 	CEPT1
 	YWHAQ
 	LRP4
 	DTNA
 	ADAM19
 	RINT1
 	CAPRIN1
 	ITGA7
 	RAB11FIP5
 	FHOD1
 	SLC9A5
 	FAM129A
 	TTLL4
 	TSGA10
 	LRCH1
 	COG3
 	SETDB2
 	IGF2BP3
 	BLK
 	ATP6V1G1
 	DENND4C
 	TINAG
 	RNF121
 	TGS1
 	PPP2R1B
 	UACA
 	BCAR3
 	TRIM54
 	GPR87
 	STAT4
 	HERC3
 	HNRNPD
 	RAP1GDS1
 	ETV6
 	PIK3C2G
 	PLCZ1
 	LRIG3
 	GAS2L3
 	SLC38A6
 	WARS
 	WDR61
 	TPM1
 	BBS4
 	ADAMTS18
 	ZCCHC14
 	COPS3
 	SSH2
 	MAPK4
 	STAC2
 	CBLC
 	MAP3K6
 	UFC1
 	PPOX
 	USP21
 	CASQ1
 	RGL1
 	INTS7
 	TP53BP2
 	CNIH3
 	OSR1
 	SFXN5
 	NPHP1
 	ZC3H8
 	ZNF385B
 	UBR3
 	SUMF1
 	RHBDD1
 	SLC25A26
 	MED12L
 	ALDH1L1
 	FABP2
 	TNFAIP8
 	COMMD10
 	MEGF10
 	GABRB2
 	TNIP1
 	SDK1
 	TMEM168
 	DNAJC5B
 	TRIM55
 	SLC26A7
 	MTDH
 	NFIB
 	A1CF
 	CAMK2G
 	GAS2
 	DLG2
 	CACNA1C
 	ANK3
 	RAD9B
 	MIPOL1
 	ADAM17
 	FLI1
 	BICD1
 	DST
 	PSTPIP2
 	CWF19L2
 	SUV39H2
 	CCNO
 	ACMSD
 	FAM49B
 	ANKFN1
 	MIA3
 	BTG3
 	ANKRD40
 	ZFYVE27
 	RASA2
 	ADAMTS3
 	SLC28A1
 	CXCL13
 	SORCS3
 	HKDC1
 	NMNAT2
 	MYO1E
 	DYRK1A
 	CREB3L1
 	DGKI
 	SPPL3
 	SKI
 	PTPDC1
 	SHROOM4
 	SLAMF8
 	CACHD1
 	DONSON
 	CBR1
 	CCDC58
 	FBXL13
 	TNFSF13
 	SENP3
 	PDZK1IP1
 	PDPN
 	NFIA
 	GBP2
 	ZNF281
 	NLRP3
 	MAPKAPK2
 	SGPP2
 	AZI2
 	MON1A
 	MST1R
 	WDR82
 	OTUD4
 	RNF180
 	STXBP5
 	BMPER
 	BAALC
 	TP53INP1
 	HNRNPK
 	CASP7
 	SLC39A13
 	PSMC3
 	KCNC2
 	DEPDC4
 	BTRC
 	BAG5
 	PRTG
 	NDST2
 	TMEM135
 	NNMT
 	KATNAL2
 	HDHD2
 	STIM1
 	CYB5D2
 	C2CD3
 	NAALADL1
 	DTYMK
 	MLKL
 	SLC20A2
 	SLC16A4
 	FSTL5
 	ZNF608
 	MRPL1
 	UGP2
 	ZFPM2
 	TMED10
 	SEMA3E
 	TMC7
 	SOCS6
 	DCDC1
 	HAS2
 	PDGFD
 	JAGN1
 	RBKS
 	UGT2B7
 	LGALS4
 	JMJD1C
 	SYNPO
 	KRCC1
 	ZNF24
 	AFF1
 	SMPDL3A
 	TRIB1
 	TNFRSF10D
 	C11orf80
 	STAT5B
 	TRAF6
 	WFDC5
 	EIF3F
 	CREG2
 	ZDHHC21
 	HSF5
 	SLC38A9
 	TBL1XR1
 	ZBTB41
 	DMAP1
 	STAP2
 	DDX10
 	NDUFV2
 	NT5DC1
 	ZHX2
 	RMI1
 	MRFAP1L1
 	TMTC2
 	ZNF664
 	R3HDM2
 	TSHZ1
 	ZADH2
 	SOX2
 	ZBTB2
 	RELL1
 	MGAT4C
 	CEP97
 	SATB1
 	CAMK1D
 	MEX3B
 	ZNRF3
 	BTBD9
 	ARSI
 	KCNQ3
 	PRKD1
 	WDR27
 	HS6ST3
 	ROR1
 	SETD4
 	C15orf41
 	CYP2R1
 	PRELID2
 	TMPRSS12
 	FOXD3
 	WDR86
 	PLSCR1
 	SLC24A5
 	ZNF600
 	SPOCK3
 	SUPT3H
 	ADH7
 	MME
 	FAM3C
 	PGAP1
 	S100A10
 	CD2AP
 	HELZ
 	ASPH
 	ITSN2
 	ZNF536
 	GRK5
 	NOS1AP
 	ATXN2
 	PCDHGA1
 	LGR4
 	PRR13
 	SAMD9
 	DPF3
 	CRYZL1
 	COL6A6
 	ANKRD28
 	GBP7
 	PPP1CB
 	IQCJ
 	FIS1
 	PPME1
 	HSBP1
 	TNFSF12
 	PCDHGC3
 	PCDHGC5
 	PCDHGC4
 	MRPL33
 	USP51
 	TNFSF12-TNFSF13
 	PCDHGB6
 	PCDHGA7
 	PCDHGA8
 	PCDHGB2
 	PCDHGB4
 	PCDHGB7
 	PCDHGB1
 	PCDHGA9
 	PCDHGB3
 	AGK
 	PTPRC
 	PCDHGA4
 	KRT37
 	KRT23
 	MMP28
 	AKT3
 	NTAN1
 	ABR
 	ORAI1
 	PLCH2
 	PCDHGB5
 	TJP1
 	GPIHBP1
 	RRN3
 	MAP3K14


HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma)	 
 	EFHD2
 	RDH14
 	SLC4A10
 	ANKRD12
 	C1orf129
 	IL8
 	ZC3H11A
 	NFYC
 	PTGS2
 	SQLE
 	SERPINE1
 	MS4A6A
 	CLK4
 	ATF2
 	RGS2
 	ZNF227
 	IL6ST
 	FST
 	ACVR1B
 	SEC24B
 	HERC4
 	HSPB8
 	DUSP2
 	DHRS3
 	CDC42EP3
 	FOS
 	MANEA
 	RPS27
 	PCGF3
 	ASTL
 	LBH
 	PTPRN2
 	TMEM77
 	BAT2D1
 	BHLHB2
 	MKL2
 	USH2A
 	PUM2
 	DDX20
 	RAB10
 	PPP1R15A
 	POLRMT
 	HMOX1
 	EP300
 	PLEK2
 	GRIN2D
 	MET
 	PLEKHA1
 	ZNF451
 	LNPEP
 	CCL20
 	GLS
 	IL1RL1
 	QPCT
 	LEPR
 	ATP6V0B
 	HEATR1
 	TBX3
 	ZNF365
 	FCN3
 	CYP4B1
 	GABPB2
 	MEIS1
 	OGT
 	MFHAS1
 	ADM
 	HMGA2
 	ARID5B
 	PDE3B
 	DAB2
 	PSD3
 	RAPGEF6
 	PEA15
 	DISC1
 	YEATS2
 	AGGF1
 	ARHGAP12
 	TAF10
 	SRRM2
 	GLYCTK
 	CDCA4
 	PDE7B
 	BCL2L1
 	SMARCC1
 	RIN1
 	ERCC4
 	FLRT2
 	ANKFY1
 	TSPYL4
 	COL14A1
 	CHM
 	KPNA5
 	CR1L
 	ZNF44
 	RUSC2
 	LEPROT
 	TRIM31
 	PCDHGA12
 	PCDHGA5
 	PCDHGA6
 	PCDHGA10
 	PCDHGA11
 	PCDHGA3


BPE cells (breast epithelium); HME1 cells (breast epithelium); K562 cells (erythroleukemia cells)	 
 	ALK
 	PRIM2
 	NAV2
 	CLDN10
 	PARK2
 	C10orf11
 	ANLN
 	UBR2
 	CLEC16A
 	TBXAS1
 	CLASP1
 	BAZ2A
 	ESR1
 	TULP2
 	OAZ1
 	ASPN
 	CUX2
 	DUSP1
 	KHDRBS1
 	P4HA1
 	CBFA2T3
 	ASCC1
 	B4GALNT3
 	SLC47A1
 	KLHL3
 	ADAM12
 	NRG1
 	ZNF618
 	INSR
 	PPID
 	WDR25
 	CCDC121
 	SMYD3
 	CENPP
 	DAPK1
 	GPN1
 	PNMAL1
 	FUT8
 	MAP4
 	EPB41L4B
 	PPM1F
 	ARHGEF7
 	XYLT1
 	H2AFY
 	CHRNA2
 	ZBTB46
 	KSR1
 	DMRTB1
 	HSD17B12
 	GPRASP2
 	FOXK1
 	CACNB2
 	NBPF10
 	EPHB6
 	ELOVL5
 	VPS13D
 	SPO11
 	FNDC3B
 	OSBPL6
 	SENP1
 	XPO1
 	HSD17B14
 	DAZL
 	MYH9
 	MEFV
 	CDC37
 	LGALS3BP
 	E2F3
 	HS3ST3B1
 	RAB3IP
 	SLC44A2
 	KIF1A
 	SLC39A1
 	CREB3L4
 	ZFYVE28
 	SHC1
 	LENEP
 	CCT2
 	CKS1B
 	MSRB3
 	CSRP2
 	RIMS2
 	CLN8
 	TSPYL2
 	SH3BGR


BPE cells (breast epithelium); HME1 cells (breast epithelium)	 
 	MCC
 	DCUN1D4
 	SPATA4
 	GLI3
 	C7orf52
 	KCNMA1
 	TMCO3
 	CLMN
 	SEC22B
 	PCNXL2
 	RBMS3
 	ULK4
 	CACNA2D3
 	CRIM1
 	NAP5
 	ALS2CR11
 	FRAS1
 	ARHGAP10
 	UTRN
 	RSBN1L
 	METT5D1
 	PVRL1
 	ARHGEF12
 	MPP7
 	MYO5A
 	SLC25A21
 	C20orf26
 	KIAA1219
 	CCDC21
 	UBXD5
 	NOTCH2NL
 	C1orf19
 	LOC165186
 	FLJ41603
 	FAM13A1
 	MAP3K7IP2
 	C6orf72
 	JMJD2C
 	FAM125B
 	DDEF1
 	CENTG3
 	MLL3
 	C11orf66
 	RARRES3
 	TMEM16A
 	CCDC147
 	C12orf59
 	ATP5B
 	EML5
 	C14orf159
 	FLJ41766
 	LOC283867
 	C19orf35
 	GRLF1
 	GLTSCR1
 	KIAA0427
 	CALCR
 	PHLDB1
 	STAU2
 	C12orf4
 	PLEKHA5
 	MTA3
 	CA11
 	RAB27A
 	NUAK1
 	RASAL2
 	FRYL
 	NT5C2
 	APBB1IP
 	MYNN
 	SLC7A8
 	DPYSL2
 	CDC6
 	SEZ6L
 	TRIOBP
 	CRYBB1
 	ZFYVE21
 	MAPRE1
 	SGCG
 	PSMD7
 	SLC7A5
 	PPP2CB
 	ETFB
 	HOXA2
 	HOXA3
 	TAX1BP1
 	CHN2
 	CPEB3
 	FIG4
 	SEMA5A
 	CPEB4
 	GBE1
 	LMAN2L
 	SDC1
 	PLCL1
 	WIPF1
 	TTF2
 	WARS2
 	PPP1R3C
 	TEK
 	UFM1
 	CALD1
 	XRCC3
 	BEST3
 	TPST2
 	EIF2AK4
 	PALLD
 	KCTD1
 	DSG3
 	FHOD3
 	TAOK3
 	AHI1
 	DNAJC1
 	RAB30
 	THBS1
 	GIPC2
 	AOX1
 	SEC31A
 	PPA2
 	FGD4
 	GLTP
 	FRMD6
 	SRP14
 	CDH13
 	NME7
 	JTB
 	FBXO28
 	SPAG16
 	LRIG1
 	LPP
 	CAMK2D
 	USP53
 	CDH18
 	ARHGAP26
 	SESN3
 	THRB
 	FER
 	FRMD4A
 	SACS
 	PLOD2
 	BANK1
 	UBASH3B
 	XPC
 	TIAM1
 	NSMCE2
 	CLDND2
 	CAPN2
 	DLC1
 	REEP3
 	NAB2
 	PNOC
 	TMEM129
 	RASSF6
 	ELOVL6
 	TMEM43
 	SOX7
 	ANKLE2
 	ADAMTSL1
 	GRM8
 	FIGN
 	TRAK1
 	GSTA5
 	GPC6
 	SCFD2
 	PCDH9
 	MAML2
 	AGBL4
 	CCDC84
 	BCR
 	DNER
 	ARL9
 	DPP4
 	STK39
 	RASSF9
 	SGMS1
 	TEDDM1
 	KRT6A
 	ZNF512
 	FCGR2C
 	NOX5
 	NCOA4
 	CNTNAP2
 	UCRC
 	GLT8D4
 	GPR98
 	KIAA0020
 	DEC1
 	UNQ9391
 	WBSCR18
 	FER1L3
 	FAM130A1
 	SP7
 	LOC388327
 	PER1
 	ACCN1
 	TADA2L
 	DUS2L
 	C18orf45
 	AP2B1
 	GPRC5A
 	ARNTL2
 	PI4K2B
 	RAB27B
 	DSG2
 	ARID1B
 	LAMA3
 	CDH3
 	CYB5R4
 	DIP2B
 	NFATC3
 	MAP3K13
 	RFX3
 	SMARCA2
 	ME2
 	GRHL2
 	AKR1B1
 	PGS1
 	C20orf194
 	XRN2
 	GLG1
 	PUS7
 	AAAS
 	PCSK5
 	ZMAT5
 	C1GALT1
 	CLIP2
 	PRUNE2
 	TESK1
 	BMPR1A
 	MED31
 	GLRB
 	KRT18
 	NCOA7
 	SLC26A8
 	MAPK14
 	PHACTR1
 	EYA4
 	FGF1
 	LRRC42
 	C1orf21
 	DNAJC6
 	DARS2
 	TGFBI
 	WIPF3
 	LRRFIP1
 	HIVEP3
 	TXNDC17
 	SH3BP4
 	SYNE1
 	TBC1D5
 	CA6
 	SBF2
 	NUMB
 	MBD2
 	IRAK2
 	EHF
 	CEP350
 	DOCK10
 	FLNB
 	ANP32B
 	CD72
 	Gcom1
 	EXOC6
 	AEBP2
 	TMEM117
 	MBNL2
 	DTL
 	NFKBIZ
 	LHFPL2
 	SLC22A3
 	CREB5
 	SH3KBP1
 	PARD3
 	ZEB1
 	KIRREL3
 	JPH2
 	PTPRO
 	STK32B
 	FBXL2
 	ABCA10
 	SH3RF1
 	ADAMTSL3
 	FAM122B
 	ZFYVE9
 	LCA5L
 	PALM2-AKAP2
 	FGF11
 	OMA1
 	KBTBD8
 	MTHFD2L
 	ANXA5
 	MOCS2
 	FAT3
 	KBTBD6
 	FRS2
 	MMP10
 	TUBA1C
 	LMBRD1
 	LRP1B
 	PPIC
 	CHRNB1
 	KCND3
 	PRNP
 	FRMD5
 	TLN2
 	DPAGT1
 	SPTLC3
 	MMRN2
 	IL20RB
 	VPS37D
 	TRIML2
 	ABCA13
 	NRXN1
 	PITPNB
 	TMEM102
 	CACNB4
 	RGS6
 	CTNNA3
 	KIAA2026
 	OSBP2
 	RBM33
 	IMMP2L
 	FAF1
 	UBE2H
 	GCNT1
 	THSD4
 	GTF2F2
 	INSC
 	AFAP1
 	ZNF398
 	SVIL
 	LEKR1
 	DDX42
 	CTNND1
 	TOX
 	BHLHB9
 	SLC35B4
 	TRIM16
 	TSPAN19
 	CLEC2L
 	PPIL3
 	WDR92
 	HMBS
 	TRPV6
 	SURF4
 	ATP9B
 	SLC39A11
 	NPAL3
 	PRNPIP
 	LPHN2
 	C1orf111
 	FLJ13137
 	C2orf34
 	MAP1D
 	FAM119A
 	BXDC2
 	ODZ2
 	NHEDC2
 	LRRC16A
 	KIAA1949
 	DPCR1
 	C6orf130
 	UBE2CBP
 	C7orf44
 	PFTK1
 	KIAA0564
 	LOH12CR1
 	IFLTD1
 	CNIH
 	CCDC46
 	MYST1
 	PAPD5
 	MOBKL2A
 	FKSG24
 	NFYA
 	ST7
 	ITGAL
 	IFRD1
 	LRRC23
 	IL20RA
 	MNAT1
 	BIRC3
 	TG
 	ARHGAP6
 	DCBLD2
 	ATG5
 	SYT1
 	TMEM131
 	PLXNA2
 	SCGN
 	ACOX3
 	MMP2
 	TASP1
 	FXYD3
 	RAPGEF4
 	BCL7C
 	MKNK2
 	VRK1
 	LPIN2
 	BCKDK
 	TTC23
 	GYS1
 	TJP3
 	RAB3A
 	CDK6
 	ELAVL2
 	SEC23IP
 	KAZALD1
 	ZMIZ1
 	SASH1
 	ASCC3
 	WASF1
 	PRSS16
 	RAD1
 	BCL6
 	FHL2
 	AAK1
 	DHCR24
 	ZBTB17
 	PLA2G2D
 	GBP3
 	INVS
 	CPXM2
 	FLT3
 	APOBEC2
 	DEK
 	PCSK2
 	EPS15L1
 	YWHAH
 	MRPS25
 	VPS13B
 	LRRIQ1
 	CABLES1
 	ANXA1
 	TMPRSS4
 	BBS7
 	CNOT6L
 	TPH2
 	SLC7A1
 	FTO
 	DYM
 	DUSP10
 	SNAPIN
 	ASXL2
 	THSD7B
 	COPS7B
 	SLIT2
 	CCNA2
 	SETD7
 	RNF145
 	RIPPLY1
 	CTF1
 	DCUN1D2
 	ZNF827
 	AP1S3
 	SCOC
 	RBMS1
 	CD96
 	CFDP1
 	LGI4
 	ABCA9
 	SPAG17
 	CLSTN2
 	B4GALT5
 	EPB41
 	ZBTB7B
 	FLAD1
 	OLFML2B
 	VSNL1
 	CDC20B
 	PDSS2
 	ZHX1
 	DCHS1
 	RNF169
 	TMEM92
 	PTGDR
 	DNAJC21
 	PTAFR
 	SDC2
 	YWHAG
 	USP47
 	EMB
 	KCNS3
 	C8orf74
 	SLCO3A1
 	NR2C2
 	ZBED2
 	C12orf42
 	ARSJ
 	MEX3D
 	CAV3
 	PLCXD3
 	MRPL54
 	EFHC2
 	GPR39
 	GPR173
 	RALYL
 	KCNQ5
 	ERC2
 	TCEA1
 	NKAIN2
 	CPNE4
 	AJAP1
 	COL27A1
 	SCN8A
 	DNM3
 	FAM3D
 	DMD
 	LSM2
 	KRT81
 	COL28A1
 	ACBD6
 	NRM
 	CALR3


BPE cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells)	 
 	RBPMS
 	BAI1
 	CRYM
 	NUCB1
 	DBP
 	KCNN1
 	ZC3HAV1
 	CRYAB
 	DNAJB2
 	SCARB2
 	CDC42BPA
 	IER5
 	KIAA0895
 	ABTB2
 	NKIRAS2
 	DNAJC7
 	FBXL14
 	AGTRAP
 	HIBCH
 	DFNB31
 	CHP
 	CLK1
 	ANKRD11
 	APBA3
 	CACNA1G
 	PLEKHA4
 	NOTCH1
 	SIM2
 	NUDT9
 	ACBD3


BPE cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma)	 
 	PTPRE
 	VAV3
 	MBNL1
 	TANK
 	STAT1
 	PCDH7
 	ARPM1
 	CENTG2
 	NARG1L
 	RCN1
 	ZNF638
 	FOSL2
 	MAST2
 	TBC1D2
 	SORBS1
 	MTAP
 	HOXA1
 	NUP98
 	UST
 	PDE4D
 	ANXA11
 	GLUL
 	LAMC1
 	PLXNC1
 	SH3BGRL3
 	PKP4
 	SETBP1
 	SLBP
 	IL7R
 	ZNF395
 	PLCD1
 	MITF
 	SESTD1
 	SRGAP3
 	KLRK1
 	KCNQ2
 	CCRN4L
 	SP140
 	SCAMP1
 	WAC
 	BDKRB1
 	SIPA1L3
 	CPE
 	EHBP1
 	PGF
 	POLR3GL
 	MAP1B
 	NT5E
 	OSBPL1A
 	EIF2B5
 	MYO10
 	RSRC1
 	ZBTB7A
 	H2AFX
 	DPYD
 	MKL1
 	C1orf77
 	WBP5
 	KIAA0774
 	SLC24A6
 	CDC27
 	FBXW11
 	KPNA3
 	CHIC2
 	ACSL3
 	RALY
 	MTUS1
 	LGR6
 	ARNTL
 	SP110
 	DUSP5
 	PRKG2
 	F11R
 	PTMS
 	AKAP13
 	PDE4B
 	RYBP


BPE cells (breast epithelium)	 
 	ZNF343
 	MACROD2
 	C20orf74
 	KCNJ6
 	SDC3
 	NEGR1
 	LRRC8C
 	F3
 	C1orf218
 	C1orf57
 	CTNNB1
 	GABRR3
 	GSK3B
 	TM4SF18
 	MEMO1
 	COL6A3
 	PASK
 	PPP1R7
 	CDH12
 	FLJ13611
 	SGTB
 	COL4A3BP
 	PJA2
 	CSNK1G3
 	CSNK1A1
 	ADRA1B
 	BMPR1B
 	FLJ20184
 	MAB21L2
 	LRBA
 	KIAA1712
 	FBXO8
 	PHF3
 	PERP
 	ENPP2
 	SLC25A13
 	CNOT4
 	SLC37A3
 	CXorf15
 	HDX
 	POF1B
 	HCCA2
 	PARG
 	ATRNL1
 	UGCGL2
 	CASC1
 	LYRM5
 	ATF7
 	TBC1D15
 	CEP290
 	TMTC3
 	KCTD10
 	FBN1
 	KTN1
 	SCARF1
 	HYDIN
 	PPP4R1
 	NOL5A
 	C20orf196
 	UQCC
 	C20orf52
 	GTPBP5
 	KIAA1751
 	SFRS4
 	KIAA0494
 	C1orf41
 	C1orf83
 	GPR177
 	HIAT1
 	WDR42A
 	C1orf9
 	C1orf96
 	FAM116A
 	MINA
 	NAG
 	C2orf30
 	LOC51057
 	LOC130576
 	HRB
 	HISPPD1
 	CCDC4
 	C4orf26
 	MGC48628
 	ACCN5
 	C4orf18
 	C6orf195
 	C6orf218
 	GPR115
 	AIM1
 	FAM26D
 	KIAA1244
 	C9orf84
 	C8orf42
 	CENTA1
 	LOC54103
 	TMEM27
 	C10orf35
 	C10orf118
 	KIAA1598
 	NUPL1
 	C12orf26
 	DRAM
 	GRINL1A
 	NARG2
 	FLJ11506
 	EFTUD1
 	WDR22
 	C14orf102
 	LOC374569
 	TMEM49
 	M6PRBP1
 	ZNF397OS
 	GCLC
 	VPS41
 	ADIPOR2
 	UPP2
 	ST7L
 	HEATR5B
 	FYN
 	LARS2
 	SLC11A1
 	CXorf56
 	NCDN
 	ALAS1
 	NCAPH2
 	KPNA6
 	MYO16
 	LMO3
 	MCF2L2
 	CUL1
 	ATP11B
 	FAM107B
 	SLC9A3
 	ZBTB11
 	ATP1B3
 	ABCB11
 	NUP37
 	RBM7
 	SPAG6
 	NAALAD2
 	MAGI3
 	BZW1
 	COL19A1
 	CHMP2B
 	PIR
 	DOCK3
 	RPH3A
 	KIF16B
 	RBM27
 	OSBPL8
 	WDR76
 	MSH2
 	TDRD1
 	DSP
 	LMF2
 	CABP7
 	ASCC2
 	CERK
 	KCNK10
 	CDKL1
 	ACIN1
 	PABPC1L
 	DHX35
 	DGKH
 	TSC22D1
 	IQCH
 	CTSH
 	DOT1L
 	BET1
 	WDR91
 	MYL7
 	UBE2R2
 	TNKS2
 	KPNB1
 	PSMD11
 	ANXA10
 	HTATIP2
 	CTSC
 	CBL
 	PPFIBP1
 	EXOC2
 	GMDS
 	PFDN1
 	SKP1
 	ARL6
 	CEP70
 	GRK7
 	IQCG
 	PLEK
 	PARD3B
 	ALMS1
 	CAPZA1
 	SMG7
 	CNN3
 	NSL1
 	ATF6
 	ANKRD13C
 	ARMC2
 	RAD23B
 	HSDL2
 	YPEL5
 	SLC25A2
 	TNFSF18
 	EPC1
 	SIL1
 	PIK3CA
 	LDB3
 	ACADS
 	RASSF8
 	NRK
 	CLYBL
 	STK35
 	DSTN
 	PZP
 	PDE11A
 	EGLN3
 	ECSIT
 	CAMSAP1
 	ATXN10
 	RBM39
 	CKMT2
 	SLC6A11
 	RPA1
 	FLOT2
 	SNAP25
 	ATP8A2
 	PIK3C2B
 	MACROD1
 	MORC2
 	KRBA1
 	SWAP70
 	NGF
 	DSC1
 	CLOCK
 	CD36
 	TEC
 	USP15
 	KCNK1
 	RCBTB1
 	LMO7
 	MTHFS
 	DDX60
 	SORL1
 	YAP1
 	UNC13C
 	MAPKBP1
 	IFI44L
 	HADHB
 	MMRN1
 	CPNE8
 	RHOF
 	RNF113B
 	PTRH2
 	GNAL
 	KIAA0319L
 	HHIPL2
 	FLG2
 	EXOC6B
 	CTDSP1
 	SPATA16
 	KLHL8
 	SPATA5
 	CDKAL1
 	AIG1
 	LUC7L2
 	NSDHL
 	UHRF2
 	ZCCHC7
 	AUH
 	ZNF462
 	TCF7L2
 	LIN7C
 	C11orf49
 	CCDC82
 	C11orf52
 	TMC2
 	ITGB1
 	RGS18
 	PPP1R1C
 	MAGI1
 	NPAS3
 	NUBPL
 	NEK7
 	FARP1
 	PANK1
 	ACOXL
 	CAST
 	KCTD15
 	SEMA3D
 	LRRK1
 	PLCL2
 	ELMO1
 	ART3
 	PHF6
 	WASF2
 	AHCYL2
 	CDC42SE2
 	CSRP1
 	RCAN1
 	ZNF385A
 	ZNF653
 	IL24
 	CLDN1
 	STT3B
 	FYCO1
 	ABLIM2
 	BSN
 	EGFLAM
 	C8orf34
 	RASEF
 	E2F7
 	NELL1
 	MYO5B
 	DHRS13
 	DDB1
 	SCARA3
 	KCNG4
 	DYNLRB2
 	NMD3
 	KCNAB1
 	CTNND2
 	MUC17
 	TPST1
 	FRMPD4
 	UBE2E1
 	KRT74
 	KRT72
 	POLH
 	GPHN
 	NINJ2
 	CYP4F22
 	GTPBP2
 	KLHL6
 	DMXL1
 	NADSYN1
 	VANGL1
 	ARV1
 	CSPG4
 	SUSD5
 	MGA
 	KY
 	LARP7
 	UNC119B
 	EFCAB5
 	NAALADL2
 	RIC8A
 	OR13D1
 	MAP3K15
 	ST20
 	SLC9A9
 	MRPS11
 	FAM89A
 	GABRG3
 	PLCB1
 	CSMD1
 	OPCML
 	ALDH1A3
 	ZFP1
 	ANKS1B
 	GALNT17
 	ZBTB37
 	OLFML2A
 	NRG3
 	WWOX
 	OR9Q1
 	SMYD4
 	ZNF397
 	LYPD6
 	TPRG1
 	ZC3H6
 	TMEM120B
 	MTF1
 	TRAPPC2
 	ZNF431
 	GPATCH3
 	APCDD1L
 	UBE2J1
 	SMC5
